exchange: 2024-04-08T00:48:24.253Z, received: 2024-04-08T00:48:24.356080948Z, now: 2024-04-08T00:48:24.356129829Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078828792Z, now: 2024-04-08T00:48:26.078937433Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078828792Z, now: 2024-04-08T00:48:26.079002231Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078855157Z, now: 2024-04-08T00:48:26.079036882Z
exchange: 2024-04-08T00:48:25.844Z, received: 2024-04-08T00:48:26.078855157Z, now: 2024-04-08T00:48:26.079054609Z
exchange: 2024-04-08T00:48:25.845Z, received: 2024-04-08T00:48:26.078859739Z, now: 2024-04-08T00:48:26.079084660Z
exchange: 2024-04-08T00:48:26.750Z, received: 2024-04-08T00:48:26.853853914Z, now: 2024-04-08T00:48:26.853940565Z
exchange: 2024-04-08T00:48:26.750Z, received: 2024-04-08T00:48:26.853875555Z, now: 2024-04-08T00:48:26.853980399Z
exchange: 2024-04-08T00:48:26.750Z, received: 2024-04-08T00:48:26.853875555Z, now: 2024-04-08T00:48:26.853991125Z
exchange: 2024-04-08T00:48:26.752Z, received: 2024-04-08T00:48:26.856055961Z, now: 2024-04-08T00:48:26.856144903Z
exchange: 2024-04-08T00:48:26.752Z, received: 2024-04-08T00:48:26.856055961Z, now: 2024-04-08T00:48:26.856200242Z
exchange: 2024-04-08T00:48:26.752Z, received: 2024-04-08T00:48:26.856055961Z, now: 2024-04-08T00:48:26.856234525Z
exchange: 2024-04-08T00:48:28.386Z, received: 2024-04-08T00:48:28.490274003Z, now: 2024-04-08T00:48:28.490292088Z
exchange: 2024-04-08T00:48:28.387Z, received: 2024-04-08T00:48:28.494152948Z, now: 2024-04-08T00:48:28.494205352Z
exchange: 2024-04-08T00:48:28.387Z, received: 2024-04-08T00:48:28.494152948Z, now: 2024-04-08T00:48:28.494232646Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495019542Z, now: 2024-04-08T00:48:28.495031310Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495024457Z, now: 2024-04-08T00:48:28.495039174Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495024457Z, now: 2024-04-08T00:48:28.495046565Z
exchange: 2024-04-08T00:48:28.388Z, received: 2024-04-08T00:48:28.495025847Z, now: 2024-04-08T00:48:28.495065299Z
exchange: 2024-04-08T00:48:28.389Z, received: 2024-04-08T00:48:28.495027147Z, now: 2024-04-08T00:48:28.495069082Z
exchange: 2024-04-08T00:48:28.389Z, received: 2024-04-08T00:48:28.495027147Z, now: 2024-04-08T00:48:28.495072994Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495622111Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495627992Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495631282Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495652776Z
exchange: 2024-04-08T00:48:28.392Z, received: 2024-04-08T00:48:28.495612565Z, now: 2024-04-08T00:48:28.495656888Z
exchange: 2024-04-08T00:48:28.393Z, received: 2024-04-08T00:48:28.497051551Z, now: 2024-04-08T00:48:28.497059658Z
exchange: 2024-04-08T00:48:28.407Z, received: 2024-04-08T00:48:28.510763460Z, now: 2024-04-08T00:48:28.510807228Z
exchange: 2024-04-08T00:48:28.724Z, received: 2024-04-08T00:48:28.827438206Z, now: 2024-04-08T00:48:28.827531228Z
exchange: 2024-04-08T00:48:28.724Z, received: 2024-04-08T00:48:28.827438206Z, now: 2024-04-08T00:48:28.827595641Z
exchange: 2024-04-08T00:48:29.392Z, received: 2024-04-08T00:48:29.499607246Z, now: 2024-04-08T00:48:29.499618209Z
exchange: 2024-04-08T00:48:30.051Z, received: 2024-04-08T00:48:30.154591079Z, now: 2024-04-08T00:48:30.154673842Z
exchange: 2024-04-08T00:48:30.665Z, received: 2024-04-08T00:48:30.768360255Z, now: 2024-04-08T00:48:30.768449579Z
exchange: 2024-04-08T00:48:30.985Z, received: 2024-04-08T00:48:31.087790048Z, now: 2024-04-08T00:48:31.087850771Z
exchange: 2024-04-08T00:48:33.368Z, received: 2024-04-08T00:48:33.471192989Z, now: 2024-04-08T00:48:33.471230730Z
exchange: 2024-04-08T00:48:35.862Z, received: 2024-04-08T00:48:35.970628500Z, now: 2024-04-08T00:48:35.970731089Z
exchange: 2024-04-08T00:48:35.863Z, received: 2024-04-08T00:48:35.971738001Z, now: 2024-04-08T00:48:35.971832633Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101760519Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101827261Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101864963Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101874999Z
exchange: 2024-04-08T00:48:37.997Z, received: 2024-04-08T00:48:38.101669617Z, now: 2024-04-08T00:48:38.101884847Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119597214Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119665267Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119699279Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119731843Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119753316Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119769220Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119784914Z
exchange: 2024-04-08T00:48:38.014Z, received: 2024-04-08T00:48:38.119514064Z, now: 2024-04-08T00:48:38.119817111Z
exchange: 2024-04-08T00:48:38.034Z, received: 2024-04-08T00:48:38.138585382Z, now: 2024-04-08T00:48:38.138682529Z
exchange: 2024-04-08T00:48:38.034Z, received: 2024-04-08T00:48:38.138585382Z, now: 2024-04-08T00:48:38.138728149Z
exchange: 2024-04-08T00:48:38.034Z, received: 2024-04-08T00:48:38.138585382Z, now: 2024-04-08T00:48:38.138762552Z
exchange: 2024-04-08T00:48:38.396Z, received: 2024-04-08T00:48:38.498829626Z, now: 2024-04-08T00:48:38.498918894Z
exchange: 2024-04-08T00:48:38.416Z, received: 2024-04-08T00:48:38.518851454Z, now: 2024-04-08T00:48:38.518941439Z
exchange: 2024-04-08T00:48:38.416Z, received: 2024-04-08T00:48:38.518851454Z, now: 2024-04-08T00:48:38.518988169Z
exchange: 2024-04-08T00:48:40.390Z, received: 2024-04-08T00:48:40.495870985Z, now: 2024-04-08T00:48:40.495924647Z
exchange: 2024-04-08T00:48:41.274Z, received: 2024-04-08T00:48:41.378387104Z, now: 2024-04-08T00:48:41.378427233Z
exchange: 2024-04-08T00:48:41.470Z, received: 2024-04-08T00:48:41.573550717Z, now: 2024-04-08T00:48:41.573643002Z
exchange: 2024-04-08T00:48:42.545Z, received: 2024-04-08T00:48:42.647855042Z, now: 2024-04-08T00:48:42.647924099Z
exchange: 2024-04-08T00:48:44.925Z, received: 2024-04-08T00:48:45.028942775Z, now: 2024-04-08T00:48:45.029032408Z
exchange: 2024-04-08T00:48:45.873Z, received: 2024-04-08T00:48:45.975807036Z, now: 2024-04-08T00:48:45.975884412Z
exchange: 2024-04-08T00:48:48.297Z, received: 2024-04-08T00:48:48.450131964Z, now: 2024-04-08T00:48:48.450219594Z
exchange: 2024-04-08T00:48:49.595Z, received: 2024-04-08T00:48:49.714074202Z, now: 2024-04-08T00:48:49.714147157Z
exchange: 2024-04-08T00:48:49.851Z, received: 2024-04-08T00:48:49.968110693Z, now: 2024-04-08T00:48:49.968159572Z
exchange: 2024-04-08T00:48:51.006Z, received: 2024-04-08T00:48:51.136668267Z, now: 2024-04-08T00:48:51.136721900Z
exchange: 2024-04-08T00:48:51.455Z, received: 2024-04-08T00:48:51.557965476Z, now: 2024-04-08T00:48:51.558059227Z
exchange: 2024-04-08T00:48:51.913Z, received: 2024-04-08T00:48:52.035548162Z, now: 2024-04-08T00:48:52.035648385Z
exchange: 2024-04-08T00:48:51.947Z, received: 2024-04-08T00:48:52.052575093Z, now: 2024-04-08T00:48:52.052660245Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478647065Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478690033Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478702613Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478713896Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478727172Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478759625Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478791724Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478820684Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478831642Z
exchange: 2024-04-08T00:48:53.362Z, received: 2024-04-08T00:48:53.478561399Z, now: 2024-04-08T00:48:53.478842522Z
exchange: 2024-04-08T00:48:55.348Z, received: 2024-04-08T00:48:55.509594910Z, now: 2024-04-08T00:48:55.509621100Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563189740Z, now: 2024-04-08T00:48:58.563235241Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563189740Z, now: 2024-04-08T00:48:58.563248246Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563201406Z, now: 2024-04-08T00:48:58.563250982Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563201406Z, now: 2024-04-08T00:48:58.563253545Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563201406Z, now: 2024-04-08T00:48:58.563256033Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563201406Z, now: 2024-04-08T00:48:58.563258529Z
exchange: 2024-04-08T00:48:58.453Z, received: 2024-04-08T00:48:58.563201406Z, now: 2024-04-08T00:48:58.563261024Z
exchange: 2024-04-08T00:48:58.454Z, received: 2024-04-08T00:48:58.563203208Z, now: 2024-04-08T00:48:58.563263528Z
exchange: 2024-04-08T00:48:58.454Z, received: 2024-04-08T00:48:58.563203208Z, now: 2024-04-08T00:48:58.563266031Z
exchange: 2024-04-08T00:48:58.454Z, received: 2024-04-08T00:48:58.563204372Z, now: 2024-04-08T00:48:58.563268507Z
exchange: 2024-04-08T00:48:58.454Z, received: 2024-04-08T00:48:58.563204372Z, now: 2024-04-08T00:48:58.563270999Z
exchange: 2024-04-08T00:48:58.907Z, received: 2024-04-08T00:48:59.081044728Z, now: 2024-04-08T00:48:59.081087833Z
exchange: 2024-04-08T00:48:59.192Z, received: 2024-04-08T00:48:59.298677992Z, now: 2024-04-08T00:48:59.298720172Z
exchange: 2024-04-08T00:49:00.177Z, received: 2024-04-08T00:49:00.381094024Z, now: 2024-04-08T00:49:00.381145079Z
exchange: 2024-04-08T00:49:00.760Z, received: 2024-04-08T00:49:00.864153960Z, now: 2024-04-08T00:49:00.864237552Z
exchange: 2024-04-08T00:49:01.007Z, received: 2024-04-08T00:49:01.110851737Z, now: 2024-04-08T00:49:01.110867656Z
exchange: 2024-04-08T00:49:01.007Z, received: 2024-04-08T00:49:01.110851737Z, now: 2024-04-08T00:49:01.110889277Z
exchange: 2024-04-08T00:49:02.744Z, received: 2024-04-08T00:49:02.846999743Z, now: 2024-04-08T00:49:02.847050633Z
exchange: 2024-04-08T00:49:02.744Z, received: 2024-04-08T00:49:02.846999743Z, now: 2024-04-08T00:49:02.847116452Z
exchange: 2024-04-08T00:49:02.744Z, received: 2024-04-08T00:49:02.846999743Z, now: 2024-04-08T00:49:02.847150030Z
exchange: 2024-04-08T00:49:03.648Z, received: 2024-04-08T00:49:03.751669429Z, now: 2024-04-08T00:49:03.751727324Z
exchange: 2024-04-08T00:49:03.860Z, received: 2024-04-08T00:49:03.964122360Z, now: 2024-04-08T00:49:03.964151723Z
exchange: 2024-04-08T00:49:05.256Z, received: 2024-04-08T00:49:05.360387193Z, now: 2024-04-08T00:49:05.360451644Z
exchange: 2024-04-08T00:49:05.619Z, received: 2024-04-08T00:49:05.721920839Z, now: 2024-04-08T00:49:05.721988331Z
exchange: 2024-04-08T00:49:05.804Z, received: 2024-04-08T00:49:05.906264821Z, now: 2024-04-08T00:49:05.906349934Z
exchange: 2024-04-08T00:49:06.086Z, received: 2024-04-08T00:49:06.190943746Z, now: 2024-04-08T00:49:06.191036021Z
exchange: 2024-04-08T00:49:06.116Z, received: 2024-04-08T00:49:06.220569985Z, now: 2024-04-08T00:49:06.220656861Z
exchange: 2024-04-08T00:49:10.402Z, received: 2024-04-08T00:49:10.504833259Z, now: 2024-04-08T00:49:10.504920263Z
exchange: 2024-04-08T00:49:10.614Z, received: 2024-04-08T00:49:10.718335137Z, now: 2024-04-08T00:49:10.718413542Z
exchange: 2024-04-08T00:49:10.771Z, received: 2024-04-08T00:49:10.874134905Z, now: 2024-04-08T00:49:10.874216260Z
exchange: 2024-04-08T00:49:10.779Z, received: 2024-04-08T00:49:10.881898586Z, now: 2024-04-08T00:49:10.881977261Z
exchange: 2024-04-08T00:49:12.686Z, received: 2024-04-08T00:49:12.815693767Z, now: 2024-04-08T00:49:12.815782445Z
exchange: 2024-04-08T00:49:12.686Z, received: 2024-04-08T00:49:12.815693767Z, now: 2024-04-08T00:49:12.815834183Z
exchange: 2024-04-08T00:49:13.281Z, received: 2024-04-08T00:49:13.384839633Z, now: 2024-04-08T00:49:13.384928480Z
exchange: 2024-04-08T00:49:13.281Z, received: 2024-04-08T00:49:13.384839633Z, now: 2024-04-08T00:49:13.384976527Z
exchange: 2024-04-08T00:49:14.371Z, received: 2024-04-08T00:49:14.474595788Z, now: 2024-04-08T00:49:14.474679729Z
exchange: 2024-04-08T00:49:14.371Z, received: 2024-04-08T00:49:14.474595788Z, now: 2024-04-08T00:49:14.474722704Z
exchange: 2024-04-08T00:49:14.689Z, received: 2024-04-08T00:49:14.791791989Z, now: 2024-04-08T00:49:14.791878301Z
exchange: 2024-04-08T00:49:14.934Z, received: 2024-04-08T00:49:15.037083179Z, now: 2024-04-08T00:49:15.037181848Z
exchange: 2024-04-08T00:49:14.934Z, received: 2024-04-08T00:49:15.037083179Z, now: 2024-04-08T00:49:15.037232372Z
exchange: 2024-04-08T00:49:14.934Z, received: 2024-04-08T00:49:15.037083179Z, now: 2024-04-08T00:49:15.037245925Z
exchange: 2024-04-08T00:49:14.949Z, received: 2024-04-08T00:49:15.053218255Z, now: 2024-04-08T00:49:15.053300695Z
exchange: 2024-04-08T00:49:14.949Z, received: 2024-04-08T00:49:15.053218255Z, now: 2024-04-08T00:49:15.053346246Z
exchange: 2024-04-08T00:49:14.954Z, received: 2024-04-08T00:49:15.056898154Z, now: 2024-04-08T00:49:15.056979785Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863495867Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863538612Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863552256Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863564422Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863576728Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863588862Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863601214Z
exchange: 2024-04-08T00:49:15.752Z, received: 2024-04-08T00:49:15.863393570Z, now: 2024-04-08T00:49:15.863613508Z
exchange: 2024-04-08T00:49:16.430Z, received: 2024-04-08T00:49:16.533039343Z, now: 2024-04-08T00:49:16.533126926Z
exchange: 2024-04-08T00:49:16.544Z, received: 2024-04-08T00:49:16.646986564Z, now: 2024-04-08T00:49:16.647031055Z
exchange: 2024-04-08T00:49:17.428Z, received: 2024-04-08T00:49:17.530769549Z, now: 2024-04-08T00:49:17.530785766Z
exchange: 2024-04-08T00:49:17.428Z, received: 2024-04-08T00:49:17.530769549Z, now: 2024-04-08T00:49:17.530809096Z
exchange: 2024-04-08T00:49:17.429Z, received: 2024-04-08T00:49:17.532665079Z, now: 2024-04-08T00:49:17.532702223Z
exchange: 2024-04-08T00:49:17.434Z, received: 2024-04-08T00:49:17.536316125Z, now: 2024-04-08T00:49:17.536361111Z
exchange: 2024-04-08T00:49:17.484Z, received: 2024-04-08T00:49:17.588821346Z, now: 2024-04-08T00:49:17.588905097Z
exchange: 2024-04-08T00:49:17.484Z, received: 2024-04-08T00:49:17.588821346Z, now: 2024-04-08T00:49:17.588952074Z
exchange: 2024-04-08T00:49:17.484Z, received: 2024-04-08T00:49:17.588821346Z, now: 2024-04-08T00:49:17.588962858Z
exchange: 2024-04-08T00:49:17.653Z, received: 2024-04-08T00:49:17.756602189Z, now: 2024-04-08T00:49:17.756703527Z
exchange: 2024-04-08T00:49:17.653Z, received: 2024-04-08T00:49:17.756602189Z, now: 2024-04-08T00:49:17.756742293Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398155679Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398199306Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398210865Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398220667Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398230426Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398240091Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398249805Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398259473Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398269134Z
exchange: 2024-04-08T00:49:21.247Z, received: 2024-04-08T00:49:21.398026572Z, now: 2024-04-08T00:49:21.398278813Z
